0xbf810c2aL _BmfdQueryFontFile@16
0xbf810cb6L _BmfdQueryFont@16
0xbf810cd5L _BmfdQueryFontTree@20
0xbf810d17L _vBmfdFill_IFIMETRICS@8
0xbf8112feL _vComputeSpecialChars@12
0xbf811349L _GreQuerySystemTime@4
0xbf81135aL ?cComputeGISET@@YGKPAGKPAU_GISET@@K@Z
0xbf8113e0L ?CompareRoutine@@YAHPAG0@Z
0xbf8113faL _cFacesRes@4
0xbf811445L _bBMFDIFIMETRICS@20
0xbf811586L __RegisterLogonProcess@8
0xbf811607L _vVtfdFill_IFIMetrics@12
0xbf811c88L _bVtfdLoadFont@20
0xbf811ea7L _iDefaultFace@4
0xbf811ee8L _cjVTFDIFIMETRICS@4
0xbf811fc2L _cVtfdResFaces@4
0xbf812001L _vtfdLoadFontFile@16
0xbf81203dL _bVerifyVTFD@4
0xbf812268L sub_BF812268
0xbf8122a0L _vtfdLoadFontFileTE@28
0xbf812318L sub_BF812318
0xbf812327L _CloseFNTCache@0
0xbf812401L _vtfdQueryFont@16
0xbf812420L _vtfdQueryFontFileTE@16
0xbf8124b6L _vtfdQueryFontFile@16
0xbf812629L _EngMultiByteToUnicodeN@20
0xbf81263aL _vtfdQueryFontTree@20
0xbf81267cL _ClientLoadLocalT1Fonts@0
0xbf8126a8L _RequestDeviceChange@12
0xbf8127ceL _SetDeviceEvent@4
0xbf8127fcL _WakeRIT@4
0xbf812838L _ProcessDeviceChanges@4
0xbf812ca1L _GetRITWakeReason@4
0xbf812ce9L _OpenDevice@4
0xbf812e1bL _StartDeviceRead@4
0xbf813011L __UnregisterUserApiHook@0
0xbf813057L _NtUserUnregisterUserApiHook@0
0xbf813074L _NtGdiSetBitmapAttributes@8
0xbf813094L _NtUserRegisterUserApiHook@16
0xbf8130c3L __RegisterUserApiHook@16
0xbf8131ddL ?W32kCddClipRegion@@YGHQAX0PBU_CLIPOBJ@@@Z
0xbf813246L _NtUserLockWindowStation@4
0xbf81328bL __LockWindowStation@4
0xbf8132f1L _FastGetProfileIntFromID@24
0xbf81340aL _FastGetProfileDwordW@24
0xbf8134eeL _FastGetProfileValue@28
0xbf813699L _xxxODI_ColorInit@4
0xbf81379cL _SetConnectCompletedState@4
0xbf8137d5L _UserSetAltScaleFont@8
0xbf81386bL _GreMarkUndeletableFont@4
0xbf813883L _GreMarkUndeletableBrush@4
0xbf81389fL _CI_GetClrVal@8
0xbf81391aL _UserSetFont@16
0xbf81396fL _SetKeyboardRate@4
0xbf8139deL _RpcBindingCreateW@16
0xbf8139e9L _RpcBindingBind@12
0xbf8139f4L _SetIconFonts@8
0xbf813a83L _MetricGetIDLocalized@8
0xbf813b20L _SetIconMetrics@8
0xbf813c7fL _CreateFontFromWinIni@12
0xbf813da6L _xxxSetNCFonts@8
0xbf8142fdL _xxxSetWindowNCMetrics@16
0xbf81452eL _SetNCMetrics@4
0xbf814a50L _bSetDevDragWidth@8
0xbf814a88L _xxxMB_FindLongestString@4
0xbf814b2eL _MetricGetID@12
0xbf814b55L _xxxLoadSomeStrings@0
0xbf814c17L _xxxClientLoadStringW@12
0xbf814db3L _ConvertHandleAndVerifyLoc@4
0xbf814f98L _xxxSafeLoadKeyboardLayoutEx@36
0xbf81506bL _InitTooltipDelay@4
0xbf81509eL _xxxLoadKeyboardLayoutEx@36
0xbf815523L _GetWindowsDirectoryDevicePath@4
0xbf815633L _GetSymbolicLink@8
0xbf8156f4L _SetDesktopPattern@8
0xbf815851L _ReadDefaultAccelerationCurves@4
0xbf8158e5L _LoadCPUserPreferences@8
0xbf815a3eL _xxxFreeKeyboardLayouts@8
0xbf815a8aL _xxxInternalUnloadKeyboardLayout@12
0xbf815b7eL _AccessTimeOutReset@0
0xbf815bb7L _ResetMouseAccelerationCurves@0
0xbf815bd6L __SetDoubleClickTime@4
0xbf815c60L _GetHotKeyLangID@4
0xbf815c88L _GreMarkDeletableBrush@4
0xbf815ccbL _PostWindowArrangementCheck@4
0xbf815d17L _NtUserLoadKeyboardLayoutEx@32
0xbf815e67L _xxxFreeImeKeyboardLayouts@4
0xbf815eaaL _xxxSetPKLinThreads@8
0xbf815f65L _NtUserUpdatePerUserSystemParameters@4
0xbf815f8bL _xxxUpdatePerUserSystemParameters@4
0xbf816ca6L _CheckXPStyleScaling@0
0xbf816cd6L _CalculateMouseSensitivity@4
0xbf816d22L _UpdatePerUserKeyboardMappings@4
0xbf816d2fL _xxxUpdatePerUserAccessPackSettings@4
0xbf8174f2L _InitScancodeMap@0
0xbf8175d1L _GetThreadsWithPKL@12
0xbf81778dL _xxxImmUnloadThreadsLayout@16
